亜（亞）	ア	亜流，亜麻，亜熱帯	　
量	リョウ　はかる	量産，測量，度量量る	⇔計る，測る，図る，謀る
僚	リョウ	僚友，官僚，同僚	　
領	リョウ	領土，要領，大統領	　
寮	リョウ	寮生，寮母，独身寮	　
療	リョウ	療養，医療，治療	　
瞭	リョウ	明瞭	　
糧	リョウ　　ロウ　かて	糧食，糧道兵糧糧	　
力	リョク　リキ　ちから	権力，努力，能力力量，力作，馬力力，力仕事，底力	　
緑（綠）	リョク　　ロク　みどり	緑茶，緑陰，新緑緑青緑，薄緑	　
林	リン　はやし	林業，林立，山林林，松林	　
厘	リン	一分一厘	　
倫	リン	倫理，人倫，絶倫	　
輪	リン　わ	輪番，一輪，車輪輪，輪切り，首輪	　
隣	リン　となる　となり	隣室，隣接，近隣隣り合う隣，両隣	　
臨	リン　のぞむ	臨時，臨床，君臨臨む	　
瑠	ル	浄瑠璃	　
涙（淚）	ルイ　なみだ	感涙，声涙，落涙涙，涙ぐむ，涙ぐましい	　
累	ルイ	累計，累積，係累	　
塁（壘）	ルイ	塁審，敵塁，土塁	　
類（類）	ルイ　たぐい	類型，種類，分類類い，○○の類い	　
令	レイ	令嬢，法令，命令	　
礼（禮）	レイ　ライ	礼儀，謝礼，無礼礼賛，礼拝	「礼拝」は，「レイハイ」とも。
冷	レイ　つめたい　ひえる　ひや　ひやす　ひやかす　さめる　さます	冷却，冷淡，寒冷冷たい，冷たさ冷える，底冷え冷や，冷や汗，冷ややかだ冷やす冷やかす，冷やかし冷める冷ます，湯冷まし	　
励（勵）	レイ　はげむ　はげます	励行，奨励，精励励む，励み励ます，励まし	　
戻（戾）	レイ　もどす　もどる	戻入，返戻戻す，差し戻し戻る，後戻り	　
例	レイ　たとえる	例外，例年，用例例える，例え，例えば	　
鈴	レイ　リン　すず	電鈴，振鈴，予鈴風鈴，呼び鈴鈴	　
零	レイ	零下，零細，零落	　
霊（靈）	レイ　リョウ　たま	霊感，霊魂，霊長類悪霊，死霊霊，霊屋	　
隷	レイ	隷書，隷属，奴隷	　
齢（齡）	レイ	樹齢，年齢，妙齢	　
麗	レイ　うるわしい	麗人，端麗，美麗麗しい，麗しさ	　
暦（曆）	レキ　こよみ	暦年，還暦，太陽暦暦，花暦	　
歴（歷）	レキ	歴史，歴訪，経歴	　
列	レツ	列外，列車，陳列	　
劣	レツ　おとる	劣等，卑劣，優劣劣る	　
烈	レツ	烈火，壮烈，猛烈	　
裂	レツ　さく　さける	決裂，破裂，分裂裂く，八つ裂き裂ける，裂け目	⇔割く
恋（戀）	レン　こう　こい　こいしい	恋愛，恋慕，失恋恋い慕う，恋い焦がれる恋，初恋，恋する恋しい，恋しがる	　
連	レン　つらなる　つらねる　つれる	連合，連続，関連連なる連ねる連れる，連れ	　
廉	レン	廉価，清廉，破廉恥	　
練（練）	レン　ねる	練習，試練，熟練練る，練り直す	　
錬（鍊）	レン	錬金術，鍛錬，精錬	　
呂	ロ	風呂	　
炉（爐）	ロ	炉辺，暖炉，原子炉	　
賂	ロ	賄賂	　
路	ロ　じ	路上，道路家路，旅路，山路	　
露	ロ　　ロウ　つゆ	露出，露店，雨露披露露，夜露	　
老	ロウ　おいる　ふける	老巧，老人，長老老いる，老い老ける，老け役	老舗（しにせ）
労（勞）	ロウ	労働，労力，疲労	　
弄	ロウ　もてあそぶ	愚弄，翻弄弄ぶ	　
郎（郞）	ロウ	新郎	　
朗（朗）	ロウ　ほがらか	朗読，朗々と，明朗朗らかだ，朗らかさ	　
浪	ロウ	浪費，波浪，放浪	　
廊（廊）	ロウ	廊下，回廊，画廊	　
楼（樓）	ロウ	楼閣，鐘楼，望楼	　
漏	ロウ　もる　もれる　もらす	漏電，疎漏，脱漏漏る，雨漏り漏れる漏らす	　
籠	ロウ　かご　こもる	籠城籠籠もる	　
六	ロク　む　むつ　むっつ　　むい	六月，六法，丈六六月目六つ切り六つ六日	　
録（錄）	ロク	録音，記録，実録	　
麓	ロク　ふもと	山麓麓	　
論	ロン	論証，論理，議論	　
和	ワ　　オ　やわらぐ　やわらげる　なごむ　なごやか	和解，和服，柔和和尚和らぐ和らげる和む和やかだ	日和（ひより）大和（やまと）
話	ワ　はなす　はなし	話題，会話，童話話す，話し合い話，昔話，立ち話	　
賄	ワイ　まかなう	収賄，贈賄賄う，賄い	　
脇	わき	脇腹，両脇	　
惑	ワク　まどう	惑星，迷惑，誘惑惑う，惑い	　
枠	わく	枠，枠内，窓枠	　
湾（灣）	ワン	湾内，湾入，港湾	　
腕	ワン　うで	腕章，腕力，敏腕腕，腕前，細腕	　
